CUSTOMER_ID,EMPLOYEE_SIZE,CUSTOMER_SEGMENT
H00342843,1 to 25,International Direct
H00342856,26 to 200,NAM Low-Touch
H00342903,1 to 25,NAM Low-Touch
H00342926,1 to 25,NAM Low-Touch
H00342972,1 to 25,International Low-touch
H00342980,26 to 200,International Direct
H00342982,1 to 25,NAM Low-Touch
H00343013,Undefined,NAM Low-Touch
H00343014,26 to 200,NAM Partner
H00343048,1 to 25,NAM Low-Touch
H00343218,1 to 25,NAM Direct
H00343273,201 or Above,NAM Low-Touch
H00343295,26 to 200,International Direct
H00343362,26 to 200,NAM Low-Touch
H00343396,26 to 200,NAM Direct
H00343455,26 to 200,NAM Direct
H00343506,1 to 25,NAM Partner
H00343877,1 to 25,NAM Low-Touch
H00343892,26 to 200,NAM Low-Touch
H00343954,1 to 25,NAM Low-Touch
H00344012,1 to 25,International Direct
H00344349,1 to 25,International Partner
H00344455,1 to 25,International Low-touch
H00344583,1 to 25,International Direct
H00344731,1 to 25,NAM Low-Touch
H00344776,1 to 25,NAM Low-Touch
H00344802,1 to 25,NAM High-touch
H00344873,1 to 25,International Direct
H00344942,26 to 200,NAM Direct
H00344964,26 to 200,NAM Unowned
H00345029,201 or Above,International Partner
H00345283,26 to 200,NAM Partner
H00345386,1 to 25,NAM Unowned
H0041004,26 to 200,NAM Low-Touch
H0041272,26 to 200,NAM Low-Touch
H0041346,26 to 200,NAM Low-Touch
H0041366,1 to 25,NAM Low-Touch
H0041383,201 or Above,NAM Partner
H0041494,26 to 200,NAM High-touch
H0041536,26 to 200,NAM Low-Touch
H0041550,201 or Above,NAM Low-Touch
H0041605,26 to 200,NAM Low-Touch
H0041636,201 or Above,NAM High-touch
H0041922,26 to 200,NAM Low-Touch
H0042069,26 to 200,International Low-touch
H0042156,201 or Above,International Direct
H0042171,201 or Above,NAM Low-Touch
H0042250,26 to 200,International Low-touch
H0042334,26 to 200,NAM Low-Touch
H0042347,201 or Above,International Partner
H0042422,201 or Above,NAM High-touch
H0042425,26 to 200,NAM Partner
H0042436,201 or Above,International Low-touch
H0042461,26 to 200,NAM High-touch
H0042569,26 to 200,NAM Low-Touch
H0042720,1 to 25,NAM Low-Touch
H0042779,1 to 25,International Partner
H0043001,26 to 200,NAM Low-Touch
H0043010,1 to 25,International Partner
H0043027,201 or Above,NAM High-touch
H0043125,201 or Above,NAM Direct
H0043195,201 or Above,International Low-touch
H0043212,26 to 200,NAM Low-Touch
H0043218,26 to 200,International High-touch
H0043253,1 to 25,NAM Partner
H0043464,26 to 200,NAM Low-Touch
H0043472,1 to 25,International Low-touch
H0043652,1 to 25,International Partner
H0043718,26 to 200,International Direct
H0043767,Undefined,NAM Low-Touch
H0043805,201 or Above,International Partner
H0044028,1 to 25,International Low-touch
H0044114,201 or Above,NAM Low-Touch
H0044155,1 to 25,NAM Low-Touch
H00441753,201 or Above,International Low-touch
H00441766,26 to 200,NAM Low-Touch
H00441794,1 to 25,International Low-touch
H00442003,26 to 200,NAM High-touch
H00442065,26 to 200,NAM Partner
H00442087,26 to 200,International Direct
H00442120,26 to 200,NAM Low-Touch
H00442201,1 to 25,International Low-touch
H00442258,1 to 25,NAM Partner
H00442339,201 or Above,International Direct
H00442524,1 to 25,International Direct
H00442590,26 to 200,International Direct
H00442603,26 to 200,NAM Partner
H00442689,1 to 25,International Partner
H00442731,201 or Above,International Partner
H00442738,Undefined,International Partner
H0044299,201 or Above,International Direct
H0044300,26 to 200,NAM Direct
H00443283,201 or Above,International Partner
H00443377,Undefined,NAM Low-Touch
H00443390,26 to 200,International Partner
H00443418,26 to 200,International Partner
H0044363,26 to 200,NAM Low-Touch
H00443937,1 to 25,International Direct
H00443997,1 to 25,NAM Low-Touch
H00444018,26 to 200,NAM Low-Touch
H00444029,1 to 25,NAM Low-Touch
H00444060,26 to 200,NAM Low-Touch
H00444064,1 to 25,International Low-touch
H00444296,1 to 25,NAM Low-Touch
H00444302,1 to 25,NAM Low-Touch
H00444351,1 to 25,International Direct
H00444387,1 to 25,International Direct
H00444428,1 to 25,International Direct
H0044444,26 to 200,International Low-touch
H00444508,1 to 25,NAM Low-Touch
H00444515,Undefined,International Direct
H00444566,Undefined,NAM Partner
H0044462,1 to 25,NAM Partner
H00444684,1 to 25,NAM Partner
H0044474,26 to 200,NAM Low-Touch
H0044480,26 to 200,International Low-touch
H00444899,1 to 25,NAM Low-Touch
H00444922,201 or Above,NAM Low-Touch
H00444991,26 to 200,International Direct
H00445005,201 or Above,International Direct
H00445028,1 to 25,NAM Unowned
